images,Mite,Negative
20180302_072407.jpg,1,0
20180302_072426.jpg,1,0
20180302_072440.jpg,1,0
20180302_072444.jpg,1,0
20180302_072741.jpg,1,0
20180302_072745.jpg,1,0
20180302_073157.jpg,1,0
20180302_073202.jpg,1,0
20180302_073239.jpg,1,0
20180302_073246.jpg,1,0
20180302_073537.jpg,1,0
20180302_073558.jpg,1,0
20180302_073633.jpg,1,0
20180302_073644.jpg,1,0
20180302_073744.jpg,1,0
20180302_073751.jpg,1,0
20180302_073815.jpg,1,0
20180302_073823.jpg,1,0
20180302_073844.jpg,1,0
20180302_073854.jpg,1,0
20180302_073952.jpg,1,0
20180302_074009.jpg,1,0
20180302_074028.jpg,1,0
20180302_074128.jpg,1,0
20180302_074848.jpg,1,0
20180302_074856.jpg,1,0
20180302_075121.jpg,1,0
20180302_075126.jpg,1,0
20180302_080724.jpg,1,0
20180302_080745.jpg,1,0
20180302_080750.jpg,1,0
20180302_080753.jpg,1,0
20180302_080759.jpg,1,0
20180302_080844.jpg,1,0
20180302_080846.jpg,1,0
20180302_081457.jpg,1,0
20180302_081506.jpg,1,0
20180302_081509.jpg,1,0
20180302_081529.jpg,1,0
20180302_081544.jpg,1,0
20180302_081554.jpg,1,0
20180302_081615.jpg,1,0
20180302_081623.jpg,1,0
20180302_081632.jpg,1,0
20180302_081641.jpg,1,0
20180302_081647.jpg,1,0
20180302_081653.jpg,1,0
20180302_081657.jpg,1,0
20180302_081702.jpg,1,0
20180302_130728.jpg,1,0
20180302_130734.jpg,1,0
20180302_130922.jpg,1,0
20180302_130931.jpg,1,0
20180302_130935.jpg,1,0
20180302_131000.jpg,1,0
20180302_131010.jpg,1,0
20180302_131058.jpg,1,0
20180302_131117.jpg,1,0
20180302_131129.jpg,1,0
20180302_131508.jpg,1,0
20180302_131511.jpg,1,0
20180302_131515.jpg,1,0
20180302_131528.jpg,1,0
20180302_131550.jpg,1,0
20180302_132312.jpg,1,0
20180302_132316.jpg,1,0
20180302_132318.jpg,1,0
20180302_132347.jpg,1,0
20180302_132405.jpg,1,0
20180302_132409.jpg,1,0
20180302_132412.jpg,1,0
20180302_132430.jpg,1,0
20180302_132505.jpg,1,0
20180302_132631.jpg,1,0
20180302_132657.jpg,1,0
20180302_132743.jpg,0,1
20180302_133021.jpg,1,0
20180302_133025.jpg,1,0
20180302_134107.jpg,1,0
20180302_134109.jpg,1,0
20180302_134115.jpg,1,0
20180302_134122.jpg,1,0
20180302_134130.jpg,1,0
20180302_134134.jpg,1,0
20180302_134142.jpg,1,0
20180302_134200.jpg,1,0
20180302_134230.jpg,1,0
20180302_134238.jpg,1,0
20180302_134458.jpg,1,0
20180302_134501.jpg,1,0
20180302_134550.jpg,1,0
20180302_134554.jpg,1,0
20180302_135259.jpg,1,0
20180302_135301.jpg,1,0
20180302_135304.jpg,1,0
20180302_135307.jpg,1,0
20180302_135446.jpg,1,0
20180302_135543.jpg,1,0
20180302_135547.jpg,1,0
20180302_135551.jpg,1,0
20180302_140337.jpg,1,0
20180302_140340.jpg,1,0
20180302_140432.jpg,1,0
20180309_141032.jpg,1,0
20180309_141036.jpg,1,0
20180309_141303.jpg,0,1
20180309_141307.jpg,1,0
20180309_141313.jpg,1,0
20180309_160217.jpg,1,0
20180309_160221.jpg,1,0
20180309_160255.jpg,1,0
20180309_160258.jpg,1,0
20180309_160305.jpg,1,0
20180309_160325.jpg,1,0
20180309_160405.jpg,1,0
20180309_160921.jpg,1,0
20180309_160938.jpg,1,0
20180309_160941.jpg,1,0
20180309_161008.jpg,1,0
20180309_161016.jpg,1,0
